"educ_yrs","age","exper","month_interview","wealth_group","female","rural","earnings_usd","years_lived_elsewhere","christian_main","christian_evang","muslim","kikuyu"
10,26,10,5,4,1,1,4.18604651162791,24,0,1,0,0
8,28,14,5,1,1,0,4.65116279069767,28,0,0,1,0
12,27,9,2,5,1,0,4.65116279069767,17,1,0,0,0
0,49,43,2,3,1,1,4.65116279069767,49,1,0,0,0
7,15,2,3,1,1,1,4.65116279069767,15,0,0,1,0
2,31,23,3,1,1,1,4.65116279069767,21,0,0,0,0
6,16,4,5,1,1,1,4.65116279069767,16,1,0,0,1
8,33,19,4,3,1,1,4.65116279069767,23,1,0,0,0
4,31,21,5,2,1,1,4.65116279069767,31,1,0,0,0
8,35,21,3,2,1,1,4.65116279069767,35,1,0,0,0
10,19,3,2,2,1,1,4.65116279069767,19,1,0,0,0
6,46,34,2,3,1,1,4.65116279069767,16,1,0,0,0
10,17,1,2,2,1,1,4.65116279069767,17,0,0,0,0
12,31,13,2,3,1,1,4.65116279069767,31,1,0,0,0
9,17,2,4,1,1,1,4.65116279069767,17,0,0,0,0
11,28,11,4,5,1,0,4.65116279069767,28,1,0,0,0
12,39,21,4,5,1,0,4.65116279069767,27,0,1,0,0
12,44,26,2,5,1,0,4.65116279069767,38,0,1,0,0
0,30,24,3,1,1,1,4.65116279069767,30,1,0,0,0
5,34,23,4,1,1,0,4.65116279069767,34,1,0,0,0
0,47,41,6,1,1,0,4.65116279069767,47,0,1,0,0
3,23,14,6,1,1,1,4.65116279069767,23,1,0,0,0
0,28,22,6,1,1,1,4.65116279069767,28,1,0,0,0
0,37,31,4,1,1,1,4.65116279069767,37,1,0,0,0
6,29,17,5,1,1,0,4.65116279069767,29,1,0,0,0
0,37,31,5,1,1,1,4.65116279069767,37,0,1,0,0
0,35,29,5,1,1,1,4.65116279069767,5,0,1,0,0
0,25,19,5,1,1,1,4.65116279069767,25,0,1,0,0
0,33,27,5,1,1,1,4.65116279069767,33,1,0,0,0
0,31,25,5,1,1,0,4.65116279069767,31,1,0,0,0
2,30,22,3,4,1,0,4.65116279069767,30,1,0,0,0
0,37,31,3,1,1,1,4.65116279069767,37,1,0,0,0
0,24,18,3,1,1,1,4.65116279069767,24,1,0,0,0
0,29,23,2,1,1,1,4.65116279069767,19,1,0,0,0
7,28,15,3,3,1,1,4.65116279069767,28,0,1,0,0
8,26,12,3,3,1,1,4.65116279069767,26,0,1,0,0
3,49,40,5,2,1,1,4.65116279069767,30,1,0,0,0
7,16,3,3,3,1,0,4.65116279069767,16,0,1,0,0
12,32,14,4,4,1,0,4.65116279069767,16,1,0,0,1
8,26,12,3,3,1,1,4.65116279069767,19,1,0,0,0
8,47,33,2,3,1,1,4.65116279069767,30,0,1,0,0
8,39,25,4,1,1,1,4.65116279069767,28,0,1,0,0
12,21,3,6,2,1,1,4.65116279069767,21,0,1,0,0
3,35,26,4,1,1,1,4.65116279069767,35,1,0,0,0
1,37,30,7,1,1,1,4.65116279069767,37,0,1,0,0
6,32,20,3,1,1,1,4.65116279069767,32,0,1,0,0
12,38,20,6,3,1,0,4.65116279069767,23,0,1,0,0
8,42,28,2,4,1,0,4.65116279069767,32,0,1,0,0
7,26,13,2,4,1,0,4.65116279069767,20,1,0,0,0
